repo,passing,failing,opt,test
ml-agents,82ea74f42f367263200951d68403485a96fd8fd1,3f4b2b59cff8038bc6f25550e39296e2cc8695cb,3f4b2b59cff8038bc6f25550e39296e2cc8695cb,ml-agents/mlagents/trainers/tests/torch/test_attention.py::test_simple_transformer_training
numpyro,1a1d21ffd2f4d42255a9e6c3a875cf3db687d997,b5d548b5ec31b25f4c4f5fa87a2b05ff571d795c,b5d548b5ec31b25f4c4f5fa87a2b05ff571d795c,test/test_mcmc.py::test_compile_warmup_run[False-sequential-2]
pyro,f9dee1e2cd494a2c473b09d9ffb6098ab16dc105,7f84f19841f21422b01ffb6010ef91e63939494e,7f84f19841f21422b01ffb6010ef91e63939494e,tests/infer/test_predictive.py::test_posterior_predictive_svi_manual_guide[True]
pyro,f9dee1e2cd494a2c473b09d9ffb6098ab16dc105,7f84f19841f21422b01ffb6010ef91e63939494e,7f84f19841f21422b01ffb6010ef91e63939494e,tests/infer/test_predictive.py::test_posterior_predictive_svi_manual_guide[False]
sbi,86d9b07238f5a0176638fecdd5622694d92f2962,c8aec2f86046812f3bc053a9bff5c57d485e495c,c8aec2f86046812f3bc053a9bff5c57d485e495c,tests/linearGaussian_snpe_test.py::test_c2st_snpe_on_linearGaussian[2-gaussian]
sbi,1534cff14dee1c1e0013ad22b2f931eb7424bb42,fa705c02d473a291f05aa8db840287ee5d6ba794,fa705c02d473a291f05aa8db840287ee5d6ba794,tests/sbiutils_test.py::test_conditional_corrcoeff[0.95]
sbi,1534cff14dee1c1e0013ad22b2f931eb7424bb42,fa705c02d473a291f05aa8db840287ee5d6ba794,fa705c02d473a291f05aa8db840287ee5d6ba794,tests/sbiutils_test.py::test_conditional_corrcoeff[0.99]
sbi,1534cff14dee1c1e0013ad22b2f931eb7424bb42,fa705c02d473a291f05aa8db840287ee5d6ba794,fa705c02d473a291f05aa8db840287ee5d6ba794,tests/sbiutils_test.py::test_conditional_corrcoeff[0.0]
pyGPGO,1c718d7f2bdb95d407b27412b25471c762355832,c21120ffd974029485877dcebafb2c0b930e1f16,c21120ffd974029485877dcebafb2c0b930e1f16,tests/test_GPGO.py::test_GPGO_mcmc
gensim,0027fb5d30ca63f197a584837b8236f464f12e94,3db9406a146c0ab0932353ae5b6a58b66838c631,3db9406a146c0ab0932353ae5b6a58b66838c631,gensim/test/test_fasttext.py::TestFastTextModel::test_cbow_neg_training
gensim,0027fb5d30ca63f197a584837b8236f464f12e94,3db9406a146c0ab0932353ae5b6a58b66838c631,3db9406a146c0ab0932353ae5b6a58b66838c631,gensim/test/test_fasttext.py::TestFastTextModel::test_sg_hs_training
gensim,0027fb5d30ca63f197a584837b8236f464f12e94,3db9406a146c0ab0932353ae5b6a58b66838c631,3db9406a146c0ab0932353ae5b6a58b66838c631,gensim/test/test_doc2vec.py::TestDoc2VecModel::test_dbow_neg
